model,family,scope,rows,positives,prevalence,pr_auc,roc_auc,source_note,pr_delta_vs_colleague_mlp,pr_ratio_vs_colleague_mlp
Colleague C default LGBM,colleague,2025 Apr-Nov,163968,1624,0.009904371584699454,0.0701674113827975,0.7838287450154496,Exact artifact,-0.016332588617202493,0.8111839466219365
Colleague val-selected LGBM,colleague,2025 Apr-Nov,163968,1624,0.009904371584699454,0.0756979432842256,0.7924975558954179,Exact artifact,-0.010802056715774389,0.8751207316095446
Colleague highest-test LGBM,colleague,2025 Apr-Nov,163968,1624,0.009904371584699454,0.0795636767136193,0.784619143813453,Exact artifact; test-selected,-0.006936323286380691,0.9198112914869284
Colleague C default MLP,colleague,2025 Apr-Nov,163968,1624,0.009904371584699454,0.0865,0.7813,Rounded to four decimals in the colleague report,0.0,1.0
Our V1 classifier,ours,2025 Apr-Nov,163968,1624,0.009904371584699454,0.07644326840036401,0.7920974597910316,Recomputed with colleague metric functions,-0.010056731599635979,0.8837372069406245
Our V2 classifier,ours,2025 Apr-Nov,163968,1624,0.009904371584699454,0.184619239805882,0.845922180025678,Recomputed with colleague metric functions,0.098119239805882,2.1343264717443007
Our V3 classifier,ours,2025 Apr-Nov,163968,1624,0.009904371584699454,0.21071808397552866,0.845142934412944,Recomputed with colleague metric functions,0.12421808397552866,2.436047213589927
Our V4 classifier,ours,2025 Apr-Nov,163968,1624,0.009904371584699454,0.21672707282658252,0.8485892155597832,Recomputed with colleague metric functions,0.13022707282658252,2.5055152927928614
Our V5 base classifier (inherits V4),ours,2025 Apr-Nov,163968,1624,0.009904371584699454,0.21672707282658252,0.8485892155597832,Recomputed with colleague metric functions; V5 reranker excluded from probability comparison,0.13022707282658252,2.5055152927928614
