month,rows,positives,colleague_pr_auc,our_v4_pr_auc,pr_absolute_gain,pr_ratio,colleague_roc_auc,our_v4_roc_auc,roc_absolute_gain
5,20832,177,0.04044442302328177,0.08366501980505406,0.043220596781772286,2.0686416952194473,0.8054559230402072,0.8454782429118681,0.04002231987166094
6,20160,154,0.03857470449664323,0.04811027570476223,0.009535571208119,1.2471975179731782,0.7908078875038788,0.8139691209520261,0.023161233448147356
7,20832,233,0.20756687271099392,0.43997510914731924,0.23240823643632533,2.119678845669749,0.8315441788811365,0.8637110389333038,0.03216686005216729
8,20832,198,0.09171395438188192,0.3273856943415734,0.23567173995969148,3.569638846651327,0.7580190291007388,0.8670428967390293,0.10902386763829053
9,20160,217,0.11131504991571908,0.3872546534504173,0.27593960353469826,3.4789065247118223,0.8043725308373103,0.8779447693206744,0.07357223848336414
10,20832,229,0.05337314238061449,0.0746375608603311,0.021264418479716614,1.39841046510014,0.7801333464177325,0.8396470857786217,0.05951373936088922
11,20160,165,0.02730175326700756,0.056413949763751754,0.029112196496744194,2.0663123430949923,0.6762208734001682,0.7813389711064129,0.1051180977062447
