bucket,rows,positives,colleague_pr_auc,our_v4_pr_auc,pr_absolute_gain,pr_ratio,colleague_roc_auc,our_v4_roc_auc,roc_absolute_gain
fire_season,163968,1624,0.07016741138279757,0.21672707282658252,0.14655966144378496,3.0887140989743838,0.7838287450154496,0.8485892155597832,0.06476047054433354
jan,20832,260,0.024580225466001505,0.1146021712546436,0.09002194578864209,4.6623726626575195,0.7171867287874483,0.864991624164286,0.14780489537683772
feb,18816,115,0.013882472156505992,0.053682296684417326,0.03979982452791134,3.866911892869112,0.7315249358904313,0.7786828418847633,0.047157905994332006
mar,20832,158,0.027895415689739734,0.051226768631848454,0.02333135294210872,1.8363866379195155,0.7591964100937643,0.828453276481314,0.06925686638754969
dec,20832,118,0.008302137974308085,0.043772826482356586,0.0354706885080485,5.2724763931672305,0.63830161538172,0.7661051315494474,0.12780351616772734
