version,validation_mean_pr_auc,validation_mean_recall_25,test_raw_pr_auc,test_calibrated_pr_auc,test_roc_auc,test_brier,test_precision_25,test_recall_25,test_recall_50,test_k_for_50pct_recall
V1,0.0973804129302495,0.29877847474414,0.06851463366200233,0.06254224665365668,0.7907276307569305,0.008944883285161652,0.06301369863013699,0.25274725274725274,0.36527472527472526,99
V2,0.18223881409212875,0.4157618752113219,0.1592818822936132,0.15052776188441824,0.838086151621264,0.00839613012459594,0.09172602739726027,0.3679120879120879,0.47384615384615386,59
V3,0.19329826971255537,0.42026462702296524,0.17042447891592685,0.17042447880545272,0.8374023977709498,0.008329915858826387,0.09435616438356165,0.37846153846153846,0.48307692307692307,56
V4,0.1979666181863083,0.4285230361848708,0.17513865706327508,0.1751386561166023,0.8419827837848043,0.008306980192781957,0.09556164383561644,0.3832967032967033,0.4887912087912088,53
V5,0.1683880411790211,0.42973994872272975,0.17513865706327508,0.1751386561166023,0.8419827837848043,0.008306980192781957,0.09567123287671232,0.38373626373626374,0.48395604395604397,56
