layer,count,min,p01,p05,p25,median,p75,p95,p99,max,mean,std,skew
elevation,5407626,-85.74452209472656,-11.790647506713867,21.06645393371582,235.28921508789062,707.31689453125,1324.37890625,2264.016845703125,3116.3818359375,4318.47802734375,859.2653198242188,738.4548950195312,0.9976339936256409
slope,5407626,0.0,0.17981286346912384,0.3929353952407837,2.0313754081726074,9.198177337646484,18.100980758666992,28.380146026611328,34.19856262207031,62.092498779296875,11.015620231628418,9.461319923400879,0.6369764804840088
aspect,5407626,7.840165615081787,54.07181167602539,83.01640319824219,140.3677978515625,177.96591186523438,215.42465209960938,270.522705078125,302.4478759765625,351.13818359375,177.51148986816406,55.632747650146484,-0.007825121283531189
hillshade,5407626,5.958934307098389,95.30368041992188,128.54867553710938,168.21282958984375,179.70919799804688,182.88951110839844,204.32955932617188,221.77757263183594,251.4488983154297,173.9638214111328,22.44114875793457,-1.3947454690933228
tri,5407626,0.0,0.11578159034252167,0.24488946795463562,1.0005162954330444,4.354933738708496,8.53903579711914,13.879093170166016,17.390668869018555,73.1493911743164,5.296073913574219,4.618231296539307,0.7915202975273132
tpi,5407626,-35.823280334472656,-9.198040962219238,-5.223450183868408,-0.9736438989639282,-0.02148250676691532,0.6810433864593506,5.711202144622803,10.07689380645752,55.77184295654297,0.0011389418505132198,3.208636522293091,0.333669513463974
